iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,adv_mean,adv_std
1,2048,35.8,0,nan,nan,nan,nan,-0.0006,0.8153,2.9869,-0.0002,0.0,12,0.1693,0.8975
2,4096,69.0,0,nan,nan,nan,nan,-0.0004,0.0003,2.8315,0.0002,0.0,12,0.0,0.0061
3,6144,102.1,0,nan,nan,nan,nan,-0.0003,0.0002,2.7478,-0.0001,0.0,12,-0.0001,0.0108
4,8192,137.0,1,1385.5086666666666,1385.5086666666666,5.0,0.0,-0.0001,0.2553,3.2545,-0.0,0.0,12,0.1281,0.5019
5,10240,170.7,1,1385.5086666666666,1385.5086666666666,5.0,0.0,-0.0003,0.0001,3.0238,-0.0001,0.0,12,-0.0006,0.0088
6,12288,204.1,1,1385.5086666666666,1385.5086666666666,5.0,0.0,-0.0005,0.0001,3.079,0.0003,0.0,12,-0.0004,0.0087
7,14336,239.1,2,1228.8716666666667,1307.1901666666668,5.0,0.0,-0.0003,0.3872,3.3483,0.0003,0.0,12,0.1188,0.6264
8,16384,272.8,2,1228.8716666666667,1307.1901666666668,5.0,0.0,-0.001,0.03,3.5915,0.0006,0.0,12,0.1278,0.1558
9,18432,307.2,2,1228.8716666666667,1307.1901666666668,5.0,0.0,-0.0004,0.2329,3.7463,-0.0007,0.0,12,0.447,0.3803
10,20480,341.5,2,1228.8716666666667,1307.1901666666668,5.0,0.0,-0.0016,0.3331,3.7511,0.0011,0.0,12,0.599,0.4595
11,22528,376.9,3,4699.623333333334,2438.0012222222226,5.0,0.0,-0.0011,0.7405,3.6866,-0.0016,0.0008,12,0.3358,0.8427
12,24576,411.1,3,4699.623333333334,2438.0012222222226,5.0,0.0,-0.0004,0.3681,3.5653,0.0003,0.001,12,0.4892,0.5133
13,26624,445.5,3,4699.623333333334,2438.0012222222226,5.0,0.0,-0.0031,0.3482,3.6897,0.0052,0.0353,12,0.6397,0.4529
14,28672,479.6,3,4699.623333333334,2438.0012222222226,5.0,0.0,-0.0014,0.3222,3.5469,-0.0008,0.0062,12,0.4413,0.4952
15,30720,515.0,4,5995.196666666668,3974.56388888889,5.0,0.0,-0.0009,0.8979,3.5961,0.0002,0.0002,12,0.3964,0.9115
16,32768,550.0,4,5995.196666666668,3974.56388888889,5.0,0.0,-0.0006,1.5186,3.3328,0.0005,0.0002,12,0.6901,1.1506
17,34816,583.9,4,5995.196666666668,3974.56388888889,5.0,0.0,-0.0006,6.2261,3.3702,0.0019,0.0002,12,2.227,1.9312
18,36864,619.8,4,5995.196666666668,3974.56388888889,5.0,0.0,0.003,92.0722,3.2296,0.0154,0.181,12,11.9272,3.2873
19,38912,655.9,5,52215.49066666666,20970.103555555554,16.0,1.0,0.0073,126.0504,2.7667,0.0114,0.1021,12,8.1524,11.3433
20,40960,689.6,5,52215.49066666666,20970.103555555554,16.0,1.0,-0.0014,0.1911,3.0862,0.0004,0.0,12,0.2251,0.3982
21,43008,724.7,5,52215.49066666666,20970.103555555554,16.0,1.0,0.0009,1.1299,3.3304,0.0021,0.006,12,1.4447,0.679
22,45056,759.6,6,5767.428000000002,21326.038444444443,5.0,0.0,-0.0008,9.1833,3.2881,0.0002,0.0008,12,0.5688,3.1101
23,47104,794.8,6,5767.428000000002,21326.038444444443,5.0,0.0,-0.0002,2.7399,3.2868,0.0002,0.001,12,1.9163,0.8612
24,49152,830.3,6,5767.428000000002,21326.038444444443,5.0,0.0,-0.0014,15.9714,3.0025,0.0026,0.0192,12,4.8353,2.8226
25,51200,866.7,7,19843.535666666667,25942.151444444444,5.0,0.0,-0.002,32.8511,2.9849,0.0013,0.0029,12,-0.0374,5.8352
26,53248,902.2,7,19843.535666666667,25942.151444444444,5.0,0.0,-0.0005,0.5817,3.036,-0.0004,0.0,12,0.5745,0.6557
27,55296,938.4,8,3920.9210000000003,9843.961555555557,5.0,0.0,-0.0015,16.3817,3.0539,-0.0,0.0029,12,-0.6208,4.1371
28,57344,973.8,8,3920.9210000000003,9843.961555555557,5.0,0.0,-0.0017,1.4973,3.1159,0.0028,0.0446,12,1.4612,1.0041
29,59392,1009.3,9,9275.033,11013.16322222222,5.0,0.0,-0.0,17.0972,3.1154,0.0003,0.0,12,0.846,4.1216
30,61440,1046.2,9,9275.033,11013.16322222222,5.0,0.0,-0.0004,303.2391,2.998,0.0007,0.0033,12,16.4629,10.3639
31,63488,1084.6,10,54713.25966666668,22636.40455555556,15.0,0.0,-0.0012,451.2093,2.53,0.0077,0.0653,12,17.7668,17.1465
32,65536,1123.4,11,73808.86899999999,45932.38722222223,21.0,1.0,-0.0011,971.0937,1.9229,0.0018,0.0104,12,17.8147,28.9072
33,67584,1159.5,11,73808.86899999999,45932.38722222223,21.0,1.0,-0.0012,3.3996,3.1361,0.0008,0.0008,12,2.6254,1.1089
34,69632,1196.0,12,10770.59366666667,46430.90744444445,5.0,0.0,-0.0004,60.8589,3.024,0.0002,0.0,12,3.0102,7.6307
35,71680,1232.8,13,32878.922000000006,39152.794888888886,8.0,1.0,-0.0011,218.6162,2.8918,0.0028,0.0223,12,9.8206,13.3095
