eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
nan,nan,nan,nan,nan,99,10861,287.4,4,19309.24600000001,12032.672444444446,45.0,13.0,0.0093,302.1026,3.4458,0.0168,0.1883,340,0.211,10.6023,13.9519
11610.801166666668,16.0,10.0,16350.185833333333,38.5,100,19506,492.1,8,9853.120333333336,8592.298,22.0,7.0,0.0029,28.0921,2.8411,0.0096,0.1035,271,0.1971,-1.8783,5.1026
nan,nan,nan,nan,nan,101,27321,889.4,12,11639.820333333331,9376.626888888888,33.0,5.0,0.0027,96.3127,2.4239,0.0059,0.0809,245,0.2407,6.8295,7.246
nan,nan,nan,nan,nan,102,38374,1157.6,16,7971.989000000001,8815.69388888889,13.0,1.0,0.0099,255.8017,3.6113,0.012,0.169,346,0.2273,-12.1534,10.6348
nan,nan,nan,nan,nan,103,50120,1442.5,20,10213.408666666664,11459.19333333333,24.0,9.0,0.0059,227.6228,3.4493,0.0137,0.1536,368,0.2441,1.4572,15.125
nan,nan,nan,nan,nan,104,59600,1668.9,24,7688.911666666669,8531.90811111111,25.0,5.0,0.0048,171.1197,3.0455,0.0071,0.1043,297,0.2093,-8.8727,9.8088
nan,nan,nan,nan,nan,105,66532,1827.2,28,4313.66,6713.858444444445,5.0,0.0,0.0162,208.8366,2.7059,0.0177,0.216,217,0.3147,-10.2611,10.3691
nan,nan,nan,nan,nan,106,73968,2001.1,32,8843.096666666668,9204.234333333332,25.0,6.0,0.0035,345.2088,2.2982,0.006,0.0904,233,0.1972,6.5277,17.5335
nan,nan,nan,nan,nan,107,81767,2185.1,36,8814.609666666667,9839.252777777778,21.0,0.0,0.0047,38.5609,2.7552,0.0067,0.0801,244,0.2093,0.9277,6.2749
nan,nan,nan,nan,nan,108,90126,2383.0,40,9066.269333333335,8823.78511111111,18.0,5.0,0.0011,116.5998,2.7335,0.0048,0.0609,262,0.2668,-5.4073,9.5108
nan,nan,nan,nan,nan,109,98227,2577.5,44,7265.509666666665,8874.728222222222,5.0,0.0,0.0082,149.0323,3.01,0.0111,0.1285,254,0.2357,-2.0582,12.1918
9271.060833333333,10.5,6.0,15518.145,28.5,110,105488,2746.8,48,8147.908666666668,9026.03177777778,23.0,4.0,0.0091,105.0134,2.3578,0.0102,0.1162,227,0.2298,0.258,10.3863
nan,nan,nan,nan,nan,111,114804,3099.0,52,7858.117666666665,9904.837444444443,23.0,3.0,0.0064,175.439,3.0844,0.0126,0.1182,292,0.2397,0.2752,13.3537
nan,nan,nan,nan,nan,112,121303,3258.8,56,3676.5743333333335,6267.892555555555,5.0,0.0,0.0008,77.3873,2.3231,0.0055,0.0769,204,0.2491,-4.5265,7.6835
nan,nan,nan,nan,nan,113,129202,3455.7,60,9302.642333333335,9691.77088888889,23.0,6.0,0.0089,111.5621,2.4837,0.0115,0.1478,247,0.2244,8.5254,6.5018
nan,nan,nan,nan,nan,114,136751,3636.2,64,6847.690333333332,9626.051555555556,21.0,4.0,0.0061,223.8964,2.4016,0.0121,0.1136,236,0.2389,4.2059,14.487
nan,nan,nan,nan,nan,115,144579,3826.6,68,7807.7356666666665,8540.848,23.0,5.0,0.0038,269.5973,2.6429,0.0105,0.1217,245,0.2249,5.9646,15.457
nan,nan,nan,nan,nan,116,153994,4073.8,72,16770.780000000002,10880.136555555555,49.0,9.0,0.0069,464.8934,3.1167,0.0096,0.1065,295,0.2645,10.2901,19.0531
nan,nan,nan,nan,nan,117,161168,4234.9,76,7967.607333333332,6843.548222222223,16.0,5.0,0.0102,70.9319,2.3955,0.018,0.1627,225,0.2557,-7.2279,4.6364
nan,nan,nan,nan,nan,118,168945,4426.4,80,13052.703333333333,9317.962555555556,28.0,8.0,0.0025,133.3719,2.4038,0.006,0.0553,244,0.2062,3.9201,11.0043
nan,nan,nan,nan,nan,119,177002,4613.0,84,9258.357333333333,8704.77488888889,16.0,0.0,0.007,48.2569,2.5883,0.0095,0.1157,252,0.2446,-0.4254,7.0677
9985.601833333334,9.0,2.5,15990.667666666663,30.0,120,185312,4820.7,88,11689.078666666665,9991.568333333333,29.0,8.0,0.0073,101.6072,2.6684,0.0087,0.1089,260,0.2249,3.9618,9.4119
nan,nan,nan,nan,nan,121,193010,5126.1,92,8398.686333333331,8990.327777777777,24.0,5.0,0.0018,19.0202,2.5859,0.008,0.0758,241,0.2649,0.5307,4.4482
nan,nan,nan,nan,nan,122,200882,5315.7,96,9977.984333333336,9563.085333333334,30.0,4.0,0.0076,376.475,2.8139,0.0139,0.1327,246,0.239,11.4625,15.8407
nan,nan,nan,nan,nan,123,208084,5487.6,100,9661.883333333333,8510.149555555554,24.0,4.0,0.0061,72.6699,2.4966,0.0079,0.0893,226,0.264,-1.2777,8.5595
nan,nan,nan,nan,nan,124,217360,5713.9,104,4871.947333333334,6450.504111111112,5.0,0.0,0.0116,270.8883,3.3315,0.0188,0.2163,290,0.268,-12.2209,11.2421
