eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,bc_kl,adv_mean,adv_std
10437.559333333336,9.5,8.0,16621.400666666665,27.5,120,7864,203.0,4,9282.677666666665,10232.001999999999,25.0,7.0,0.0059,385.3812,2.6837,0.0126,0.1332,246,0.257,12.7333,15.1291
nan,nan,nan,nan,nan,121,15718,571.5,8,8646.831666666669,8613.680555555557,19.0,8.0,0.0031,26.692,2.4539,0.0091,0.0953,246,0.2336,-1.7857,4.9853
nan,nan,nan,nan,nan,122,25160,804.2,12,10819.035666666665,10306.585888888889,26.0,7.0,0.0103,232.3259,3.0986,0.0191,0.2059,296,0.2974,-0.4099,15.323
nan,nan,nan,nan,nan,123,33147,1001.1,16,7359.528333333335,10192.759111111112,22.0,3.0,0.0058,323.2587,2.4543,0.0099,0.0761,250,0.2583,7.0225,16.6685
nan,nan,nan,nan,nan,124,41385,1204.8,20,4312.695666666666,7116.040777777779,5.0,0.0,0.0068,109.1683,2.867,0.0099,0.0898,258,0.2578,-0.0723,10.5671
nan,nan,nan,nan,nan,125,49683,1414.6,24,7449.271333333334,9840.026999999998,15.0,5.0,0.006,188.43,2.5706,0.0112,0.0969,260,0.2401,6.4471,12.2601
nan,nan,nan,nan,nan,126,57921,1619.4,28,9217.791666666668,10489.695000000003,25.0,7.0,0.0049,187.8836,2.7649,0.0079,0.1039,258,0.2331,6.7549,12.0769
nan,nan,nan,nan,nan,127,66566,1840.4,32,13743.43766666667,13188.343222222225,26.0,6.0,0.0082,499.7401,2.8111,0.0116,0.1183,271,0.2893,14.5282,17.1183
nan,nan,nan,nan,nan,128,74967,2045.2,36,8381.446333333335,8645.240555555558,25.0,7.0,0.002,16.8069,2.8296,0.0052,0.1004,263,0.2689,0.2107,4.229
nan,nan,nan,nan,nan,129,83761,2265.2,40,10867.951333333334,11472.957888888888,23.0,6.0,0.0074,437.8651,2.8585,0.0082,0.1167,275,0.3061,10.6912,18.1148
11388.632333333335,14.5,0.0,18308.862666666668,35.0,130,91681,2461.0,44,9071.153,8984.240111111112,21.0,6.0,0.0039,24.7386,2.5508,0.0083,0.0905,248,0.2503,0.0278,5.1247
nan,nan,nan,nan,nan,131,99951,2844.8,48,4342.475333333335,9579.492222222223,5.0,0.0,0.0082,448.4527,2.746,0.0174,0.1397,259,0.2557,3.605,21.0108
nan,nan,nan,nan,nan,132,108453,3054.2,52,12311.265000000001,10460.048,27.0,4.0,0.0029,124.1122,2.6094,0.0088,0.0739,266,0.2931,3.7817,10.5897
nan,nan,nan,nan,nan,133,115615,3231.0,56,8538.534,7163.542444444444,26.0,6.0,0.0059,61.7469,2.3393,0.0065,0.0984,224,0.302,-3.1192,7.3295
nan,nan,nan,nan,nan,134,122764,3398.2,60,5583.883,7354.984888888888,5.0,0.0,0.0046,105.38,2.4928,0.012,0.1082,224,0.2599,-5.3657,8.9131
nan,nan,nan,nan,nan,135,130627,3585.7,64,9439.448,9231.200222222222,19.0,3.0,0.0075,219.2317,2.7706,0.0123,0.1147,246,0.3734,3.0303,14.6342
nan,nan,nan,nan,nan,136,138851,3798.3,68,5519.9636666666665,10521.382444444445,5.0,0.0,0.0119,550.9895,2.8128,0.02,0.1774,257,0.2907,8.6252,21.9743
nan,nan,nan,nan,nan,137,149153,4053.4,72,10285.953,9319.268111111114,28.0,4.0,0.0055,144.3112,3.3802,0.01,0.1306,322,0.293,-7.1808,9.7894
nan,nan,nan,nan,nan,138,157020,4252.0,76,6783.071999999999,8778.160666666665,14.0,2.0,0.005,72.2766,2.5438,0.0083,0.0749,246,0.249,1.1017,8.5507
nan,nan,nan,nan,nan,139,165267,4456.5,80,6705.637666666666,8907.26588888889,16.0,1.0,0.0059,116.9694,2.7247,0.008,0.0837,258,0.2762,4.6399,9.912
10430.221666666665,7.5,4.5,13944.9165,24.0,140,173730,4673.7,84,6858.4169999999995,10244.956333333334,20.0,5.0,0.0059,138.182,2.6512,0.0099,0.0978,265,0.254,5.9239,10.3156
nan,nan,nan,nan,nan,141,181851,5029.1,88,9617.613666666664,8528.038333333332,13.0,1.0,0.0097,53.0714,2.4355,0.0114,0.1392,254,0.2624,-4.6401,5.8191
nan,nan,nan,nan,nan,142,190412,5236.9,92,9398.625333333332,9321.089555555554,21.0,3.0,0.0033,49.622,2.9179,0.0052,0.0462,268,0.2935,2.292,6.7941
nan,nan,nan,nan,nan,143,198907,5441.6,96,10763.491666666669,9925.38177777778,23.0,1.0,0.0055,58.1703,3.0526,0.0088,0.0953,266,0.2843,-3.9134,6.6998
nan,nan,nan,nan,nan,144,209323,5718.6,100,10157.173333333332,8759.937666666667,26.0,3.0,0.0059,101.6701,3.2278,0.0143,0.1229,326,0.3008,5.5449,8.5804
nan,nan,nan,nan,nan,145,217441,5914.6,104,8680.320333333333,7447.450444444444,14.0,2.0,0.0061,169.6157,2.64,0.0069,0.1209,254,0.294,-9.3309,9.2888
nan,nan,nan,nan,nan,146,227383,6159.0,108,8024.571999999999,8137.030333333333,12.0,1.0,0.0075,198.6582,2.9076,0.0122,0.1386,311,0.2606,-8.6114,11.3221
nan,nan,nan,nan,nan,147,235132,6347.5,112,7329.195666666667,9370.69088888889,13.0,2.0,0.007,195.2997,2.5603,0.0078,0.0926,243,0.2586,2.4026,13.8275
nan,nan,nan,nan,nan,148,243580,6548.0,116,7701.98333333333,6897.592,18.0,6.0,0.0061,373.5297,2.8081,0.0106,0.123,264,0.2959,3.1756,19.1887
nan,nan,nan,nan,nan,149,253206,6801.1,120,11159.166666666666,10004.730444444443,19.0,5.0,0.0028,55.1944,2.93,0.0074,0.1014,301,0.2847,4.3566,6.1891
6228.385666666667,6.0,3.5,13315.223833333335,32.0,150,262740,7041.5,124,8299.337,9954.964,16.0,3.0,0.004,40.2451,2.9259,0.0074,0.101,298,0.3385,2.9184,5.7762
nan,nan,nan,nan,nan,151,275217,7544.2,128,8791.621333333333,10155.659111111112,17.0,4.0,0.0103,290.1321,3.4918,0.0143,0.1558,390,0.2858,6.5728,15.8426
nan,nan,nan,nan,nan,152,283959,7774.3,132,10516.014666666666,8575.363666666666,23.0,7.0,0.0039,34.5704,2.6725,0.0088,0.092,274,0.228,1.5573,5.7911
nan,nan,nan,nan,nan,153,293775,8028.8,136,10568.602333333334,11811.067111111113,22.0,2.0,0.0043,175.4517,2.9749,0.0064,0.0605,307,0.2655,6.3491,11.7464
nan,nan,nan,nan,nan,154,303626,8282.2,140,10836.708666666666,11300.587444444443,24.0,1.0,0.0036,107.8766,3.1104,0.0056,0.0735,308,0.2668,5.2647,9.0945
nan,nan,nan,nan,nan,155,312216,8490.6,144,11853.083000000002,10279.712444444445,25.0,7.0,0.0108,192.7488,2.6724,0.0118,0.1519,269,0.2581,10.7337,9.0349
nan,nan,nan,nan,nan,156,323344,8756.7,148,7318.841333333333,8334.500666666665,13.0,5.0,0.0058,162.9072,3.3385,0.0084,0.1304,348,0.2618,-7.1928,10.6873
nan,nan,nan,nan,nan,157,332027,8975.6,152,15066.870666666666,9345.98988888889,33.0,11.0,0.0071,523.5174,2.8711,0.0083,0.1002,272,0.32,10.1462,20.6551
nan,nan,nan,nan,nan,158,339861,9160.9,156,7256.035666666667,9388.966444444444,12.0,1.0,0.0062,225.3882,2.5304,0.0102,0.0962,245,0.3325,1.2778,15.0899
nan,nan,nan,nan,nan,159,348662,9379.0,160,8471.745666666668,8388.182222222224,23.0,6.0,0.0059,55.6742,2.5912,0.0083,0.0916,276,0.2498,2.4538,7.1747
12269.515833333337,9.5,6.5,16812.335,25.0,160,357396,9588.5,164,8544.743,8879.264555555557,19.0,2.0,0.0095,29.431,2.5619,0.0126,0.1129,273,0.2835,-0.197,5.5458
nan,nan,nan,nan,nan,161,366097,10078.6,168,10381.732666666667,8894.10588888889,25.0,3.0,0.004,13.0056,2.687,0.0099,0.0845,272,0.2783,-0.978,3.5962
