设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_candx100_gpu/ep400.pt（缺失 0 项）
续训自 rl/runs/bc_candx100_gpu/ep400.pt（第 0 块）
★地图池：802 张（难度已筛）  从第 0 张接着数
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=1 | env_steps=6670 | secs=158.400 | episodes=4 | last_spend=8392.763 | mean_spend=6087.913 | last_tiles=26.000 | last_armies=5.000 | pg=0.019 | vf=376.566 | ent=2.002 | kl=0.026 | clipfrac=0.200 | n=209 | bc_kl=0.013 | adv_mean=-1.121 | adv_std=19.530
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=2 | env_steps=14310 | secs=341.600 | episodes=8 | last_spend=8686.459 | mean_spend=9035.457 | last_tiles=19.000 | last_armies=3.000 | pg=0.019 | vf=519.877 | ent=1.958 | kl=0.026 | clipfrac=0.189 | n=239 | bc_kl=0.019 | adv_mean=14.463 | adv_std=17.831
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=3 | env_steps=21407 | secs=510.500 | episodes=12 | last_spend=14482.811 | mean_spend=10937.594 | last_tiles=25.000 | last_armies=11.000 | pg=0.014 | vf=1493.645 | ent=1.986 | kl=0.013 | clipfrac=0.184 | n=222 | bc_kl=0.037 | adv_mean=29.893 | adv_std=24.744
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=4 | env_steps=29653 | secs=724.200 | episodes=16 | last_spend=7815.862 | mean_spend=13958.904 | last_tiles=25.000 | last_armies=4.000 | pg=0.017 | vf=2641.763 | ent=2.342 | kl=0.033 | clipfrac=0.226 | n=258 | bc_kl=0.052 | adv_mean=38.525 | adv_std=34.246
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=5 | env_steps=36780 | secs=900.500 | episodes=20 | last_spend=10141.824 | mean_spend=8209.846 | last_tiles=22.000 | last_armies=5.000 | pg=0.008 | vf=1064.547 | ent=2.139 | kl=0.019 | clipfrac=0.144 | n=223 | bc_kl=0.051 | adv_mean=20.475 | adv_std=25.583
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=6 | env_steps=43335 | secs=1062.700 | episodes=24 | last_spend=9309.823 | mean_spend=7956.623 | last_tiles=27.000 | last_armies=5.000 | pg=0.011 | vf=1661.136 | ent=2.100 | kl=0.011 | clipfrac=0.153 | n=205 | bc_kl=0.055 | adv_mean=26.216 | adv_std=31.378
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=7 | env_steps=50488 | secs=1237.100 | episodes=28 | last_spend=8685.898 | mean_spend=9941.904 | last_tiles=5.000 | last_armies=0.000 | pg=0.010 | vf=547.756 | ent=2.216 | kl=0.025 | clipfrac=0.189 | n=224 | bc_kl=0.074 | adv_mean=8.115 | adv_std=22.097
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=8 | env_steps=57820 | secs=1412.200 | episodes=32 | last_spend=16019.407 | mean_spend=11870.718 | last_tiles=30.000 | last_armies=8.000 | pg=0.015 | vf=1154.766 | ent=2.357 | kl=0.029 | clipfrac=0.182 | n=230 | bc_kl=0.077 | adv_mean=20.791 | adv_std=27.083
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=9 | env_steps=66157 | secs=1613.600 | episodes=36 | last_spend=8975.420 | mean_spend=9918.807 | last_tiles=19.000 | last_armies=6.000 | pg=0.012 | vf=616.614 | ent=2.024 | kl=0.020 | clipfrac=0.154 | n=261 | bc_kl=0.105 | adv_mean=4.390 | adv_std=24.598
eval_spend=13471.123 | eval_tiles=16.000 | eval_armies=2.000 | eval_s_spend=10517.566 | eval_s_tiles=20.500 | iter=10 | env_steps=74936 | secs=1845.200 | episodes=40 | last_spend=10861.571 | mean_spend=7590.670 | last_tiles=26.000 | last_armies=7.000 | pg=0.014 | vf=302.696 | ent=2.532 | kl=0.022 | clipfrac=0.197 | n=275 | bc_kl=0.103 | adv_mean=-2.801 | adv_std=17.326
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=11 | env_steps=81937 | secs=2183.600 | episodes=44 | last_spend=4618.089 | mean_spend=6609.947 | last_tiles=9.000 | last_armies=0.000 | pg=0.012 | vf=385.919 | ent=2.341 | kl=0.021 | clipfrac=0.214 | n=219 | bc_kl=0.093 | adv_mean=-8.875 | adv_std=17.698
