设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_resume.pt（第 98 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 392 张接着数
（含回报归一化状态）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=99 | env_steps=10861 | secs=287.400 | episodes=4 | last_spend=19309.246 | mean_spend=12032.672 | last_tiles=45.000 | last_armies=13.000 | pg=0.009 | vf=302.103 | ent=3.446 | kl=0.017 | clipfrac=0.188 | n=340 | bc_kl=0.211 | adv_mean=10.602 | adv_std=13.952
eval_spend=11610.801 | eval_tiles=16.000 | eval_armies=10.000 | eval_s_spend=16350.186 | eval_s_tiles=38.500 | iter=100 | env_steps=19506 | secs=492.100 | episodes=8 | last_spend=9853.120 | mean_spend=8592.298 | last_tiles=22.000 | last_armies=7.000 | pg=0.003 | vf=28.092 | ent=2.841 | kl=0.010 | clipfrac=0.103 | n=271 | bc_kl=0.197 | adv_mean=-1.878 | adv_std=5.103
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=101 | env_steps=27321 | secs=889.400 | episodes=12 | last_spend=11639.820 | mean_spend=9376.627 | last_tiles=33.000 | last_armies=5.000 | pg=0.003 | vf=96.313 | ent=2.424 | kl=0.006 | clipfrac=0.081 | n=245 | bc_kl=0.241 | adv_mean=6.830 | adv_std=7.246
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=102 | env_steps=38374 | secs=1157.600 | episodes=16 | last_spend=7971.989 | mean_spend=8815.694 | last_tiles=13.000 | last_armies=1.000 | pg=0.010 | vf=255.802 | ent=3.611 | kl=0.012 | clipfrac=0.169 | n=346 | bc_kl=0.227 | adv_mean=-12.153 | adv_std=10.635
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=103 | env_steps=50120 | secs=1442.500 | episodes=20 | last_spend=10213.409 | mean_spend=11459.193 | last_tiles=24.000 | last_armies=9.000 | pg=0.006 | vf=227.623 | ent=3.449 | kl=0.014 | clipfrac=0.154 | n=368 | bc_kl=0.244 | adv_mean=1.457 | adv_std=15.125
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=104 | env_steps=59600 | secs=1668.900 | episodes=24 | last_spend=7688.912 | mean_spend=8531.908 | last_tiles=25.000 | last_armies=5.000 | pg=0.005 | vf=171.120 | ent=3.046 | kl=0.007 | clipfrac=0.104 | n=297 | bc_kl=0.209 | adv_mean=-8.873 | adv_std=9.809
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=105 | env_steps=66532 | secs=1827.200 | episodes=28 | last_spend=4313.660 | mean_spend=6713.858 | last_tiles=5.000 | last_armies=0.000 | pg=0.016 | vf=208.837 | ent=2.706 | kl=0.018 | clipfrac=0.216 | n=217 | bc_kl=0.315 | adv_mean=-10.261 | adv_std=10.369
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=106 | env_steps=73968 | secs=2001.100 | episodes=32 | last_spend=8843.097 | mean_spend=9204.234 | last_tiles=25.000 | last_armies=6.000 | pg=0.004 | vf=345.209 | ent=2.298 | kl=0.006 | clipfrac=0.090 | n=233 | bc_kl=0.197 | adv_mean=6.528 | adv_std=17.534
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=107 | env_steps=81767 | secs=2185.100 | episodes=36 | last_spend=8814.610 | mean_spend=9839.253 | last_tiles=21.000 | last_armies=0.000 | pg=0.005 | vf=38.561 | ent=2.755 | kl=0.007 | clipfrac=0.080 | n=244 | bc_kl=0.209 | adv_mean=0.928 | adv_std=6.275
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=108 | env_steps=90126 | secs=2383.000 | episodes=40 | last_spend=9066.269 | mean_spend=8823.785 | last_tiles=18.000 | last_armies=5.000 | pg=0.001 | vf=116.600 | ent=2.733 | kl=0.005 | clipfrac=0.061 | n=262 | bc_kl=0.267 | adv_mean=-5.407 | adv_std=9.511
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=109 | env_steps=98227 | secs=2577.500 | episodes=44 | last_spend=7265.510 | mean_spend=8874.728 | last_tiles=5.000 | last_armies=0.000 | pg=0.008 | vf=149.032 | ent=3.010 | kl=0.011 | clipfrac=0.129 | n=254 | bc_kl=0.236 | adv_mean=-2.058 | adv_std=12.192
