设备：cuda
★BC 锚开启：w=0.1  只锚 turn ≤ 70  权重来自 rl/runs/bc_ep400.pt（缺失 0 项）
（含优化器状态）
续训自 rl/runs/ppo_exec/model.pt（第 119 块）
（训练图种子接着数：0）
★地图池：802 张（难度已筛）  从第 476 张接着数
（含回报归一化状态）
eval_spend=10437.559 | eval_tiles=9.500 | eval_armies=8.000 | eval_s_spend=16621.401 | eval_s_tiles=27.500 | iter=120 | env_steps=7864 | secs=203.000 | episodes=4 | last_spend=9282.678 | mean_spend=10232.002 | last_tiles=25.000 | last_armies=7.000 | pg=0.006 | vf=385.381 | ent=2.684 | kl=0.013 | clipfrac=0.133 | n=246 | bc_kl=0.257 | adv_mean=12.733 | adv_std=15.129
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=121 | env_steps=15718 | secs=571.500 | episodes=8 | last_spend=8646.832 | mean_spend=8613.681 | last_tiles=19.000 | last_armies=8.000 | pg=0.003 | vf=26.692 | ent=2.454 | kl=0.009 | clipfrac=0.095 | n=246 | bc_kl=0.234 | adv_mean=-1.786 | adv_std=4.985
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=122 | env_steps=25160 | secs=804.200 | episodes=12 | last_spend=10819.036 | mean_spend=10306.586 | last_tiles=26.000 | last_armies=7.000 | pg=0.010 | vf=232.326 | ent=3.099 | kl=0.019 | clipfrac=0.206 | n=296 | bc_kl=0.297 | adv_mean=-0.410 | adv_std=15.323
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=123 | env_steps=33147 | secs=1001.100 | episodes=16 | last_spend=7359.528 | mean_spend=10192.759 | last_tiles=22.000 | last_armies=3.000 | pg=0.006 | vf=323.259 | ent=2.454 | kl=0.010 | clipfrac=0.076 | n=250 | bc_kl=0.258 | adv_mean=7.022 | adv_std=16.669
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=124 | env_steps=41385 | secs=1204.800 | episodes=20 | last_spend=4312.696 | mean_spend=7116.041 | last_tiles=5.000 | last_armies=0.000 | pg=0.007 | vf=109.168 | ent=2.867 | kl=0.010 | clipfrac=0.090 | n=258 | bc_kl=0.258 | adv_mean=-0.072 | adv_std=10.567
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=125 | env_steps=49683 | secs=1414.600 | episodes=24 | last_spend=7449.271 | mean_spend=9840.027 | last_tiles=15.000 | last_armies=5.000 | pg=0.006 | vf=188.430 | ent=2.571 | kl=0.011 | clipfrac=0.097 | n=260 | bc_kl=0.240 | adv_mean=6.447 | adv_std=12.260
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=126 | env_steps=57921 | secs=1619.400 | episodes=28 | last_spend=9217.792 | mean_spend=10489.695 | last_tiles=25.000 | last_armies=7.000 | pg=0.005 | vf=187.884 | ent=2.765 | kl=0.008 | clipfrac=0.104 | n=258 | bc_kl=0.233 | adv_mean=6.755 | adv_std=12.077
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=127 | env_steps=66566 | secs=1840.400 | episodes=32 | last_spend=13743.438 | mean_spend=13188.343 | last_tiles=26.000 | last_armies=6.000 | pg=0.008 | vf=499.740 | ent=2.811 | kl=0.012 | clipfrac=0.118 | n=271 | bc_kl=0.289 | adv_mean=14.528 | adv_std=17.118
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=128 | env_steps=74967 | secs=2045.200 | episodes=36 | last_spend=8381.446 | mean_spend=8645.241 | last_tiles=25.000 | last_armies=7.000 | pg=0.002 | vf=16.807 | ent=2.830 | kl=0.005 | clipfrac=0.100 | n=263 | bc_kl=0.269 | adv_mean=0.211 | adv_std=4.229
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=129 | env_steps=83761 | secs=2265.200 | episodes=40 | last_spend=10867.951 | mean_spend=11472.958 | last_tiles=23.000 | last_armies=6.000 | pg=0.007 | vf=437.865 | ent=2.858 | kl=0.008 | clipfrac=0.117 | n=275 | bc_kl=0.306 | adv_mean=10.691 | adv_std=18.115
eval_spend=11388.632 | eval_tiles=14.500 | eval_armies=0.000 | eval_s_spend=18308.863 | eval_s_tiles=35.000 | iter=130 | env_steps=91681 | secs=2461.000 | episodes=44 | last_spend=9071.153 | mean_spend=8984.240 | last_tiles=21.000 | last_armies=6.000 | pg=0.004 | vf=24.739 | ent=2.551 | kl=0.008 | clipfrac=0.090 | n=248 | bc_kl=0.250 | adv_mean=0.028 | adv_std=5.125
