eval_spend,eval_tiles,eval_armies,eval_s_spend,eval_s_tiles,iter,env_steps,secs,episodes,last_spend,mean_spend,last_tiles,last_armies,pg,vf,ent,kl,clipfrac,n,adv_mean,adv_std
nan,nan,nan,nan,nan,15,8627,170.8,4,9202.987,12182.054000000002,15.0,1.0,-0.0099,1255.5637,2.2183,0.0455,0.3407,810,26.6878,23.5275
nan,nan,nan,nan,nan,16,18662,374.0,8,16334.983666666674,16053.86044444445,42.0,4.0,-0.006,2066.3106,2.61,0.0414,0.3758,942,35.9855,28.0239
nan,nan,nan,nan,nan,17,29448,583.8,12,7994.2040000000015,12590.884,14.0,2.0,-0.0089,814.6198,2.7847,0.0432,0.3286,1014,20.8189,19.7797
nan,nan,nan,nan,nan,18,38405,772.3,16,14180.305999999995,9220.514888888887,23.0,4.0,-0.0106,829.7462,2.4129,0.0395,0.3053,840,14.8273,24.8613
nan,nan,nan,nan,nan,19,47510,945.7,20,9966.858666666667,9458.646222222224,17.0,1.0,-0.0058,261.6827,2.3779,0.0353,0.2956,855,6.6775,14.8857
10779.349333333335,9.5,4.5,10838.308833333333,19.0,20,56243,1113.2,24,14260.345999999994,12051.443888888889,30.0,2.0,-0.0062,602.2161,2.3491,0.0433,0.3245,819,10.4768,22.3532
nan,nan,nan,nan,nan,21,65810,1672.6,28,15967.792,14264.909666666666,33.0,4.0,-0.0034,865.3465,2.2923,0.0425,0.3648,897,22.0966,19.6613
nan,nan,nan,nan,nan,22,75677,1869.5,32,12976.829000000005,11206.555222222223,24.0,3.0,-0.0055,305.1938,2.6427,0.0304,0.2987,927,6.8757,16.1984
nan,nan,nan,nan,nan,23,84376,2058.9,36,10416.834333333334,10880.209888888889,19.0,2.0,-0.0109,195.8771,2.237,0.0412,0.318,816,6.368,12.6175
nan,nan,nan,nan,nan,24,94204,2239.5,40,7474.017333333333,6128.787,12.0,2.0,-0.0012,256.2631,2.6913,0.0597,0.3525,924,-1.5403,16.0912
nan,nan,nan,nan,nan,25,107364,2491.5,44,16469.558999999994,13412.710555555555,31.0,3.0,-0.0013,464.1934,3.0349,0.0466,0.3569,1236,8.7491,19.8278
nan,nan,nan,nan,nan,26,117290,2676.5,48,11762.597666666667,10720.283000000001,26.0,1.0,-0.008,114.9269,2.5817,0.0292,0.2777,933,4.335,9.9412
nan,nan,nan,nan,nan,27,127526,2886.1,52,12814.524666666666,10230.506111111112,21.0,2.0,-0.0061,701.4361,2.5463,0.0536,0.3423,960,12.0057,23.7682
nan,nan,nan,nan,nan,28,138090,3102.1,56,13514.014999999998,11350.521888888887,22.0,1.0,-0.0094,331.0144,2.6822,0.0524,0.3142,993,4.6165,17.7592
nan,nan,nan,nan,nan,29,154718,3448.5,60,12378.651333333331,12936.716,32.0,5.0,0.0014,76.4335,3.4561,0.042,0.33,1560,0.4477,8.8728
8880.030166666667,8.0,6.5,12638.345833333336,24.0,30,166530,3686.1,64,11375.791333333334,10512.141222222224,20.0,0.0,-0.0092,121.8905,2.9111,0.0431,0.3082,1110,4.9914,10.0098
nan,nan,nan,nan,nan,31,180068,4752.9,68,12668.054999999997,12901.700666666666,22.0,1.0,-0.002,278.5545,3.2916,0.0281,0.2845,1272,3.4589,16.4675
nan,nan,nan,nan,nan,32,194809,5030.0,72,13455.626,12696.479333333331,18.0,1.0,-0.0017,191.6822,3.1588,0.0615,0.3351,1383,-0.5117,13.9898
nan,nan,nan,nan,nan,33,207427,5266.2,76,14630.664,12769.324888888892,25.0,1.0,-0.006,193.2974,3.1565,0.0374,0.3114,1185,5.0346,13.1037
nan,nan,nan,nan,nan,34,219132,5481.0,80,9232.666999999996,8751.416333333329,16.0,2.0,-0.0065,119.8897,2.9359,0.0354,0.2855,1098,-5.6772,9.5208
nan,nan,nan,nan,nan,35,234441,5775.6,84,12976.515333333333,13502.62044444445,16.0,2.0,-0.0018,194.087,3.2242,0.0223,0.3455,1437,10.3804,9.5155
nan,nan,nan,nan,nan,36,249176,6050.6,88,6897.772000000001,7870.176222222221,12.0,3.0,0.0021,245.2185,3.1118,0.0642,0.3371,1383,-11.4615,10.891
nan,nan,nan,nan,nan,37,264248,6329.1,92,9061.734000000002,9653.992444444446,15.0,2.0,0.0002,85.1871,3.1154,0.0723,0.3655,1413,-7.314,5.8863
nan,nan,nan,nan,nan,38,276908,6566.8,96,11656.223333333335,12519.164888888889,15.0,1.0,-0.011,149.0177,3.0639,0.0236,0.3177,1188,8.8893,8.601
nan,nan,nan,nan,nan,39,285908,6729.7,100,8826.613666666668,7586.351222222223,14.0,1.0,-0.0077,359.3096,2.7604,0.0615,0.3493,846,-15.6575,10.964
9504.545,8.0,6.5,10027.789666666667,17.0,40,299117,6983.1,104,9617.824333333334,12454.722777777779,12.0,0.0,-0.0082,393.1554,3.2737,0.0355,0.2599,1239,9.3556,17.6078
nan,nan,nan,nan,nan,41,311323,7407.0,108,8591.106000000002,8324.59811111111,14.0,1.0,-0.007,204.2637,3.1401,0.0351,0.2583,1146,-4.475,13.7113
nan,nan,nan,nan,nan,42,322138,7606.3,112,6726.383,10128.08188888889,9.0,0.0,-0.0091,329.8349,3.0236,0.0412,0.2959,1014,-0.7224,18.293
nan,nan,nan,nan,nan,43,334524,7837.2,116,12527.748999999994,10255.974,19.0,0.0,-0.0081,70.4573,3.2536,0.0327,0.2626,1164,-2.1063,8.2595
nan,nan,nan,nan,nan,44,347241,8069.1,120,7139.739333333335,8725.769555555555,13.0,1.0,-0.0103,214.7004,3.3315,0.0355,0.3392,1194,-5.1807,13.8796
nan,nan,nan,nan,nan,45,358577,8316.1,124,6697.3443333333325,9403.72155555556,9.0,0.0,-0.0097,374.5541,3.2233,0.0377,0.298,1065,-4.525,18.9659
nan,nan,nan,nan,nan,46,370490,8526.8,128,3904.191333333333,5099.238777777778,5.0,0.0,-0.0155,347.8398,3.3747,0.0549,0.3597,1119,-14.7263,11.706
nan,nan,nan,nan,nan,47,384104,8775.5,132,11491.89733333333,8890.890666666666,22.0,1.0,-0.0129,314.4273,3.4798,0.0284,0.2606,1278,-8.1504,15.9158
nan,nan,nan,nan,nan,48,396286,8998.3,136,9398.32766666667,10708.295999999997,14.0,1.0,-0.0039,130.2028,3.3325,0.0455,0.285,1143,0.2369,11.5626
nan,nan,nan,nan,nan,49,412129,9282.3,140,10023.613333333333,8542.729777777777,15.0,1.0,-0.0114,221.9952,3.6291,0.04,0.3036,1488,-6.8196,13.4053
