续训自 rl/runs/single16/last.pt（第 5 块）
iter=1 | env_steps=2048 | secs=36.500 | episodes=0 | last_spend=nan | mean_spend=nan | last_tiles=nan | last_armies=nan | pg=-0.002 | vf=0.533 | ent=3.336 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.127 | adv_std=0.731
iter=2 | env_steps=4096 | secs=69.900 | episodes=0 | last_spend=nan | mean_spend=nan | last_tiles=nan | last_armies=nan | pg=-0.001 | vf=0.001 | ent=3.109 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=-0.000 | adv_std=0.030
iter=3 | env_steps=6144 | secs=103.400 | episodes=0 | last_spend=nan | mean_spend=nan | last_tiles=nan | last_armies=nan | pg=-0.001 | vf=0.001 | ent=3.186 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.002 | adv_std=0.025
iter=4 | env_steps=8192 | secs=138.300 | episodes=1 | last_spend=1397.037 | mean_spend=1397.037 | last_tiles=5.000 | last_armies=0.000 | pg=-0.000 | vf=0.911 | ent=3.248 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.031 | adv_std=0.962
iter=5 | env_steps=10240 | secs=172.100 | episodes=1 | last_spend=1397.037 | mean_spend=1397.037 | last_tiles=5.000 | last_armies=0.000 | pg=-0.000 | vf=0.009 | ent=3.420 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.029 | adv_std=0.092
iter=6 | env_steps=12288 | secs=205.900 | episodes=1 | last_spend=1397.037 | mean_spend=1397.037 | last_tiles=5.000 | last_armies=0.000 | pg=-0.001 | vf=0.001 | ent=3.437 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.002 | adv_std=0.027
iter=7 | env_steps=14336 | secs=239.500 | episodes=1 | last_spend=1397.037 | mean_spend=1397.037 | last_tiles=5.000 | last_armies=0.000 | pg=-0.001 | vf=0.001 | ent=3.480 | kl=0.001 | clipfrac=0.000 | n=12 | adv_mean=-0.002 | adv_std=0.023
iter=8 | env_steps=16384 | secs=274.600 | episodes=2 | last_spend=1605.375 | mean_spend=1501.206 | last_tiles=5.000 | last_armies=0.000 | pg=-0.001 | vf=0.783 | ent=3.277 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=-0.041 | adv_std=0.890
iter=9 | env_steps=18432 | secs=307.400 | episodes=2 | last_spend=1605.375 | mean_spend=1501.206 | last_tiles=5.000 | last_armies=0.000 | pg=-0.000 | vf=0.001 | ent=2.402 | kl=-0.000 | clipfrac=0.000 | n=12 | adv_mean=-0.001 | adv_std=0.022
iter=10 | env_steps=20480 | secs=342.700 | episodes=3 | last_spend=1483.700 | mean_spend=1495.371 | last_tiles=5.000 | last_armies=0.000 | pg=-0.001 | vf=1.204 | ent=2.966 | kl=-0.000 | clipfrac=0.000 | n=12 | adv_mean=0.372 | adv_std=1.095
iter=11 | env_steps=22528 | secs=377.200 | episodes=3 | last_spend=1483.700 | mean_spend=1495.371 | last_tiles=5.000 | last_armies=0.000 | pg=0.000 | vf=1.361 | ent=3.810 | kl=0.001 | clipfrac=0.000 | n=12 | adv_mean=1.207 | adv_std=0.739
iter=12 | env_steps=24576 | secs=411.200 | episodes=3 | last_spend=1483.700 | mean_spend=1495.371 | last_tiles=5.000 | last_armies=0.000 | pg=-0.002 | vf=0.511 | ent=3.739 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.633 | adv_std=0.611
iter=13 | env_steps=26624 | secs=445.700 | episodes=3 | last_spend=1483.700 | mean_spend=1495.371 | last_tiles=5.000 | last_armies=0.000 | pg=-0.001 | vf=0.734 | ent=3.740 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.701 | adv_std=0.615
iter=14 | env_steps=28672 | secs=482.000 | episodes=4 | last_spend=9014.103 | mean_spend=4034.393 | last_tiles=5.000 | last_armies=0.000 | pg=0.000 | vf=2.197 | ent=3.656 | kl=0.000 | clipfrac=0.000 | n=12 | adv_mean=0.353 | adv_std=1.490
