设备：cuda
（新头随机初始化：2 项缺失 · ['exec_head.weight', 'exec_head.bias']）
续训自 rl/runs/bc_cont/ep100.pt（第 0 块）
★地图池：251 张（难度已筛）  从第 0 张接着数
  ★辅助头 warmup（第 1/1 块，策略冻结）
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=1 | env_steps=7680 | secs=103.100 | episodes=4 | last_spend=11957.158 | mean_spend=12278.581 | last_tiles=22.000 | last_armies=6.000 | pg=-0.000 | vf=99.900 | ent=1.929 | kl=-0.000 | clipfrac=0.000 | n=240 | adv_mean=-7.389 | adv_std=6.731
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=2 | env_steps=15744 | secs=226.500 | episodes=8 | last_spend=14271.393 | mean_spend=13271.883 | last_tiles=24.000 | last_armies=9.000 | pg=0.023 | vf=150.588 | ent=1.973 | kl=0.034 | clipfrac=0.284 | n=252 | adv_mean=-9.199 | adv_std=8.345
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=3 | env_steps=25369 | secs=369.900 | episodes=12 | last_spend=13275.974 | mean_spend=13881.672 | last_tiles=25.000 | last_armies=5.000 | pg=0.026 | vf=83.198 | ent=2.265 | kl=0.033 | clipfrac=0.292 | n=301 | adv_mean=-6.353 | adv_std=6.737
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=4 | env_steps=33147 | secs=479.000 | episodes=16 | last_spend=12600.339 | mean_spend=8475.842 | last_tiles=17.000 | last_armies=0.000 | pg=0.024 | vf=120.994 | ent=2.031 | kl=0.036 | clipfrac=0.256 | n=244 | adv_mean=-8.765 | adv_std=6.918
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=5 | env_steps=40513 | secs=584.000 | episodes=20 | last_spend=11420.459 | mean_spend=11050.696 | last_tiles=18.000 | last_armies=2.000 | pg=0.019 | vf=82.820 | ent=2.195 | kl=0.034 | clipfrac=0.263 | n=231 | adv_mean=-6.116 | adv_std=6.927
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=6 | env_steps=48298 | secs=696.800 | episodes=24 | last_spend=13528.508 | mean_spend=10628.530 | last_tiles=27.000 | last_armies=5.000 | pg=0.021 | vf=55.671 | ent=2.204 | kl=0.031 | clipfrac=0.266 | n=244 | adv_mean=-5.110 | adv_std=5.626
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=7 | env_steps=56838 | secs=820.600 | episodes=28 | last_spend=20501.593 | mean_spend=13851.093 | last_tiles=32.000 | last_armies=11.000 | pg=0.023 | vf=60.384 | ent=2.306 | kl=0.027 | clipfrac=0.267 | n=267 | adv_mean=-4.961 | adv_std=6.152
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=8 | env_steps=63926 | secs=921.200 | episodes=32 | last_spend=6864.247 | mean_spend=12553.384 | last_tiles=9.000 | last_armies=3.000 | pg=0.012 | vf=46.561 | ent=2.196 | kl=0.022 | clipfrac=0.215 | n=222 | adv_mean=-4.581 | adv_std=5.236
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=9 | env_steps=71127 | secs=1023.600 | episodes=36 | last_spend=9924.002 | mean_spend=10887.476 | last_tiles=13.000 | last_armies=3.000 | pg=0.014 | vf=36.845 | ent=2.191 | kl=0.029 | clipfrac=0.212 | n=226 | adv_mean=-3.923 | adv_std=4.815
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=10 | env_steps=78353 | secs=1125.900 | episodes=40 | last_spend=8390.122 | mean_spend=7020.254 | last_tiles=15.000 | last_armies=3.000 | pg=0.018 | vf=21.311 | ent=2.220 | kl=0.029 | clipfrac=0.250 | n=226 | adv_mean=-2.666 | adv_std=3.915
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=11 | env_steps=86146 | secs=1239.600 | episodes=44 | last_spend=13793.938 | mean_spend=12036.753 | last_tiles=20.000 | last_armies=6.000 | pg=0.016 | vf=26.175 | ent=2.397 | kl=0.021 | clipfrac=0.210 | n=244 | adv_mean=-3.048 | adv_std=4.255
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=12 | env_steps=93280 | secs=1339.800 | episodes=48 | last_spend=12319.714 | mean_spend=7861.360 | last_tiles=19.000 | last_armies=3.000 | pg=0.014 | vf=22.869 | ent=2.462 | kl=0.022 | clipfrac=0.224 | n=223 | adv_mean=-3.004 | adv_std=3.880
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=13 | env_steps=100554 | secs=1442.300 | episodes=52 | last_spend=9737.930 | mean_spend=9440.306 | last_tiles=17.000 | last_armies=4.000 | pg=0.016 | vf=12.643 | ent=2.409 | kl=0.023 | clipfrac=0.210 | n=228 | adv_mean=-2.246 | adv_std=2.920
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=14 | env_steps=108342 | secs=1563.400 | episodes=56 | last_spend=15314.740 | mean_spend=12056.091 | last_tiles=22.000 | last_armies=3.000 | pg=0.015 | vf=15.585 | ent=2.690 | kl=0.025 | clipfrac=0.229 | n=244 | adv_mean=-2.240 | adv_std=3.384
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=15 | env_steps=119246 | secs=1729.300 | episodes=60 | last_spend=9516.748 | mean_spend=12238.712 | last_tiles=18.000 | last_armies=4.000 | pg=0.021 | vf=9.915 | ent=2.726 | kl=0.030 | clipfrac=0.272 | n=341 | adv_mean=-1.592 | adv_std=2.834
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=16 | env_steps=126565 | secs=1834.900 | episodes=64 | last_spend=11144.287 | mean_spend=10868.546 | last_tiles=24.000 | last_armies=7.000 | pg=0.011 | vf=7.206 | ent=2.532 | kl=0.018 | clipfrac=0.193 | n=229 | adv_mean=-1.113 | adv_std=2.556
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=17 | env_steps=133460 | secs=1933.100 | episodes=68 | last_spend=13367.107 | mean_spend=9677.843 | last_tiles=21.000 | last_armies=8.000 | pg=0.009 | vf=3.941 | ent=2.694 | kl=0.025 | clipfrac=0.229 | n=216 | adv_mean=-0.819 | adv_std=1.933
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=18 | env_steps=141542 | secs=2049.000 | episodes=72 | last_spend=10125.461 | mean_spend=10434.833 | last_tiles=26.000 | last_armies=4.000 | pg=0.015 | vf=4.008 | ent=2.689 | kl=0.021 | clipfrac=0.207 | n=253 | adv_mean=-1.207 | adv_std=1.749
eval_spend=- | eval_tiles=- | eval_armies=- | eval_s_spend=- | eval_s_tiles=- | iter=19 | env_steps=150990 | secs=2184.400 | episodes=76 | last_spend=12925.330 | mean_spend=11876.549 | last_tiles=24.000 | last_armies=0.000 | pg=0.014 | vf=3.166 | ent=2.909 | kl=0.025 | clipfrac=0.238 | n=296 | adv_mean=-0.287 | adv_std=1.876
